Numéro;genus;sp;LIB_PAYS;N_ESSEM;N_CTFT;ORIGINE;CRS;DURETE;D12;NE_D12;CV_D12;HYGRO;SATUR;RB;Champ1;RV;RT;RR;FEND;TRACTION;CIS;C12;NE_C12;CV_C12;C_T_HUMID;C_REPERE;F12;NE_F12;CV_F12;E;W
2060;Aspidostemon;louvelii;Madagascar;1347;15952;;C;4.7;0.81;6;2;0.0044;24;9.8;;0.41;6.6;3.2;29.9;3.2;;58.2;10;10;63;*;95;10;18;9810;7
1206;Aspidostemon;louvelii;Madagascar;0543;05573;;C;8.1;0.91;12;3;0.0039;22;10.2;;0.46;6.5;3.5;20.5;3.4;10,3;74.8;12;7;22;*;98.1;12;18;10006;15
667;Aspidostemon;louvelii;Madagascar;0220;00129;;C;6.8;0.93;10;1;0.0037;23;12.1;;0.53;;;15.1;1.9;;74.8;20;7;30;*;127.8;10;;;19
946;Asteropeia;rhopaloides;Madagascar;0362;00364;;C;7.8;0.9;16;1;0.003;23;13.4;;0.58;;;18;5.3;;85;16;6;29;*;151;11;4;;40
760;Asteropeia;rhopaloides;Madagascar;0260;00363;;C;9.2;1.02;10;4;0.0034;25;14.4;;0.58;;;18;2.7;;89.6;20;7;10;*;174.3;10;;;45
2255;Asteropeia;sp;Madagascar;1541;16918;;C;12.2;0.98;8;2;0.0032;24;14.1;;0.59;10.2;4.7;16.1;2.3;8,5;87.3;10;5;45;*;146.2;10;14;15794;50
474;Astronium;lecointei;Bresil n.p.;0160V;;V;C;6.1;0.88;10;2;0.0031;22;12.4;;0.56;7.9;4.3;;;;75.9;10;11;31;*;132.8;10;10;17069;
2402;Astrotrichilia;thouvenotii;Madagascar;1688;16821;;S;3.6;0.58;8;3;0.0032;28;11;;0.39;7.1;3.8;14.7;2.4;;48.3;8;5;85;*;94.2;7;11;8535;12
2406;Astrotrichilia;thouvenotii;Madagascar;1692;16820;;C;6.4;0.7;10;2;0.0036;30;12.3;;0.41;7.7;4.7;19.4;2.8;8,0;63.3;10;5;72;*;133.8;10;5;10399;21
1786;Aucoumea;klaineana;Congo;1116;14814;;C;1.3;0.39;9;6;0.0022;26;9.7;;0.37;5;3.4;16.2;1.9;4,7;37.3;10;6;38;*;67.3;8;;6867;7
1787;Aucoumea;klaineana;Congo;1117;14579;;C;1.6;0.41;9;6;0.0024;23;8.1;;0.35;5.5;3.8;17.2;1.9;5,3;36.8;10;8;60;*;73.3;9;8;8240;10
1781;Aucoumea;klaineana;Congo;1111;14813;;C;2.4;0.5;7;3;0.0034;37;10.7;;0.29;7.8;4.9;22.3;2.5;7,3;43.9;10;7;59;*;84.6;7;11;8731;11
1653;Aucoumea;klaineana;Gabon;0983;11361;;C;0.5;0.32;10;5;0.0025;56;9.6;;0.17;5.8;3.3;13.3;1.6;3,8;28;10;6;42;*;52.2;10;10;5592;7
1675;Aucoumea;klaineana;Gabon;1005;11362;;C;0.8;0.35;9;6;0.0028;60;9.7;;0.16;5.7;3.3;9.5;1.4;4,2;24.6;10;16;57;*;45;10;25;6965;9
1291;Aucoumea;klaineana;Gabon;0628;06920;;S;1.1;0.42;8;5;0.0026;34;11.6;;0.34;6;4.2;9.6;1.7;;39.4;8;6;37;*;72.8;8;12;8535;14
1584;Aucoumea;klaineana;Gabon;0911;10374;;C;1.5;0.45;10;7;0.0032;39;9.7;;0.25;6.4;3.8;13.2;2.1;7,0;41.5;10;7;53;*;78.1;10;10;6965;12
1745;Aucoumea;klaineana;Gabon;1075;13830;;C;1.9;0.45;9;5;0.0027;32;11;;0.34;6.3;4.4;11.8;1.9;5,2;33.8;10;9;65;*;68.7;5;8;7750;12
1583;Aucoumea;klaineana;Gabon;0910;10371;;C;1.3;0.46;12;8;0.0035;69;12.7;;0.18;8.3;6.1;17.8;2.3;7,2;35.9;12;12;76;*;73.3;11;18;8240;17
1751;Aucoumea;klaineana;Gabon;1081;13831;;C;2;0.48;10;6;0.0025;35;13.6;;0.39;10.2;6.5;10.8;;5,3;36.1;10;8;66;*;64.2;4;11;9320;17
1553;Aucoumea;klaineana;Gabon;0880;10026;;C;2.4;0.49;10;9;0.0034;39;10.6;;0.27;6.9;4.9;19.3;2.3;;35.6;12;11;62;*;55;12;15;8437;6
1264;Aucoumea;klaineana;Gabon;0601;06349;;C;2;0.5;9;4;0.0035;38;9.7;;0.26;9.4;6.1;13.2;2.1;;39.3;10;11;39;*;80.7;4;5;8240;7
1670;Aucoumea;klaineana;Gabon;1000;11360;;S;2.4;0.55;9;6;0.0031;36;12.8;;0.36;7;4.9;12.1;2.2;7,2;39.1;9;11;53;*;80;9;13;7750;15
809;Autranella;congolensis;Cameroun;0285;02474;;C;10.9;0.99;10;5;0.004;26;13.5;;0.52;;;19.7;2.6;;74.9;20;6;40;*;144.4;10;;;32
1628;Autranella;congolensis;Centre Afrique;0958;10305;;S;5.5;0.91;9;6;0.006;;13.9;;;8.8;8.3;18.1;3;9,1;73.5;9;8;53;*;117.5;7;10;11772;17
2566;Autranella;congolensis;Centre Afrique;1851;18128;;C;8;0.91;10;4;0.0033;24;13.3;;0.55;8.2;6.3;19.3;2.5;10,1;69.7;10;7;63;*;120.9;10;16;14028;33
2577;Autranella;congolensis;Centre Afrique;1862;18284;;C;6.9;0.94;10;4;0.0025;25;15.5;;0.62;8.3;7.6;20.8;2.6;7,7;71.1;10;11;93;*;118.5;7;;14421;29
1161;Autranella;congolensis;Congo;0498;05334;;C;7.3;0.95;10;;0.0032;27;14.8;;0.55;;;22.9;2.5;8,7;82.3;10;8;31;*;158.5;8;12;14813;46
84;Avicennia;germinans;Guyane Francaise;0029G;;G;S;;0.67;4;;0.0035;51;18.8;;0.37;;;;;;;;;;;;;;;
81;Avicennia;germinans;Guyane Francaise;0028G;;G;S;;0.78;3;;0.0036;44;18.8;;0.43;;;;;;;;;;;;;;;
63;Avicennia;germinans;Guyane Francaise;0021G;;G;S;;0.87;4;;0.0038;33;15.3;;0.46;;;;;;;;;;;;;;;
239;Bagassa;guianensis;Guyane Francaise;0081G;;G;S;;0.7;8;;0.004;23;8.8;;0.38;;;;;;;;;;;;;;;
2305;Bagassa;guianensis;Guyane Francaise;1591;16664;;C;5;0.74;10;3;0.003;20;10.6;;0.53;5.5;3.8;14.3;2.4;4,8;68.1;10;15;61;*;94.8;8;12;16187;21
682;Bagassa;guianensis;Guyane Francaise;0225;01712;;C;6;0.79;10;8;0.0036;18;9.2;;0.51;;;11.3;1.6;;90.5;20;10;50;*;142.4;10;;;29
2299;Bagassa;guianensis;Guyane Francaise;1585;16702;;C;6.4;0.81;10;6;0.0036;18;9.1;;0.51;5.1;3.3;19.1;2.8;6,2;75.9;10;12;64;*;133.4;6;12;19816;28
1942;Bagassa;guianensis;Guyane Francaise;1237G;;G;S;;0.85;7;;0.0037;21;10.5;;0.5;;;;;;;;;;;;;;;
2303;Bagassa;guianensis;Guyane Francaise;1589;16692;;C;8.2;0.88;10;6;0.0042;21;9.6;;0.46;5;4;15.6;2.5;5,9;78.7;10;17;60;*;115.5;3;12;15990;16
113;Baillonella;toxisperma;Gabon;0039;02478;;C;5.7;0.8;10;2;0.0032;19;10.2;;0.54;;;16.7;3.4;;64;20;6;40;*;136.7;10;;;27
2810;Baillonella;toxisperma;Gabon;2076;19036;;C;7.8;0.87;10;5;0.0031;25;14;;0.56;8.7;6.5;24.6;4;13,5;72;10;6;73;*;167.1;10;10;18835;32
1169;Baillonella;toxisperma;Gabon;0506;05597;;C;6.9;0.94;10;2;0.0033;25;13.7;;0.55;;;23.3;3.2;10,8;84.8;10;6;36;*;171.3;10;7;15107;72
4021;Balfourodendron;riedelianum;Bresil n.p.;3272C;;C;R;8.2;0.86;5;11;0.0035;24;12.3;;0.51;9;5.6;;;;69.1;5;8;42;;164.2;6;9;14412;
3642;Balfourodendron;riedelianum;Paraguay;2896C;28993;C;S;6.3;0.77;8;3;0.0033;24;12;;0.5;8.7;4.2;21.9;3.5;;69.9;8;7;39;;154.1;8;9;13244;66
3579;Balfourodendron;riedelianum;Paraguay;2829;28435;;S;7.3;0.82;4;6;0.0035;25;12.7;;0.51;8.1;4.8;;;;62.9;4;10;40;;117;4;19;10693;
2326;Balizia;pedicellaris;Guyane Francaise;1612;16691;;C;2;0.52;10;5;0.003;23;8.7;;0.38;6.2;2.6;8.7;1.4;4,9;40.2;10;10;82;*;83.2;4;11;11380;19
