Taxon;Genus;Hybrid.marker;Species;Abbrev;Infraspecific.rank;Infraspecific;Authority;ID;Plant.Name.Index;TPL.version;Taxonomic.status;Family;New.Genus;New.Hybrid.marker;New.Species;New.Infraspecific.rank;New.Infraspecific;New.Authority;New.ID;New.Taxonomic.status;Typo;WFormat;Higher.level;Date
Micropholis guianensis;Micropholis;;guianensis;NA;NA;;;kew-127544;TRUE;1.1;Accepted;Sapotaceae;Micropholis;;guyanensis;;;(A.DC.) Pierre;kew-127544;Accepted;TRUE;FALSE;FALSE;09/12/2021
Micropholis melinoniana;Micropholis;;melinoniana;NA;NA;;;kew-127555;TRUE;1.1;Accepted;Sapotaceae;Micropholis;;melinoniana;;;Pierre;kew-127555;Accepted;FALSE;FALSE;FALSE;09/12/2021
Micropholis sp;Micropholis;;sp;NA;NA;;;;FALSE;1.1;;;Micropholis;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Micropholis venulosa;Micropholis;;venulosa;NA;NA;;;kew-127590;TRUE;1.1;Accepted;Sapotaceae;Micropholis;;venulosa;;;(Mart. & Eichler ex Miq.) Pierre;kew-127590;Accepted;FALSE;FALSE;FALSE;09/12/2021
Minquartia guianensis;Minquartia;;guianensis;NA;NA;;;kew-2502112;TRUE;1.1;Accepted;Olacaceae;Minquartia;;guianensis;;;Aubl.;kew-2502112;Accepted;FALSE;FALSE;FALSE;09/12/2021
Moronobea coccinea;Moronobea;;coccinea;NA;NA;;;kew-2372514;TRUE;1.1;Accepted;Clusiaceae;Moronobea;;coccinea;;;Aubl.;kew-2372514;Accepted;FALSE;FALSE;FALSE;09/12/2021
Mouriri sp;Mouriri;;sp;NA;NA;;;;FALSE;1.1;;;Mouriri;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Nectandra sp;Nectandra;;sp;NA;NA;;;;FALSE;1.1;;;Nectandra;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Neea floribunda;Neea;;floribunda;NA;NA;;;kew-2384132;TRUE;1.1;Accepted;Nyctaginaceae;Neea;;floribunda;;;Poepp. & Endl.;kew-2384132;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ocotea benthamiana;Ocotea;;benthamiana;NA;NA;;;tro-17800054;TRUE;1.1;Accepted;Lauraceae;Ocotea;;benthamiana;;;Mez;tro-17800054;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ocotea floribunda;Ocotea;;floribunda;NA;NA;;;kew-2386492;TRUE;1.1;Accepted;Lauraceae;Ocotea;;floribunda;;;(Sw.) Mez;kew-2386492;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ocotea glomerata;Ocotea;;glomerata;NA;NA;;;kew-2386030;TRUE;1.1;Accepted;Lauraceae;Ocotea;;glomerata;;;(Nees) Mez;kew-2386030;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ocotea guianensis;Ocotea;;guianensis;NA;NA;;;kew-2385951;TRUE;1.1;Accepted;Lauraceae;Ocotea;;guianensis;;;Aubl.;kew-2385951;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ocotea oblonga;Ocotea;;oblonga;NA;NA;;;kew-2386144;TRUE;1.1;Accepted;Lauraceae;Ocotea;;oblonga;;;(Meisn.) Mez;kew-2386144;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ocotea petalanthera;Ocotea;;petalanthera;NA;NA;;;tro-17800291;TRUE;1.1;Accepted;Lauraceae;Ocotea;;petalanthera;;;(Meisn.) Mez;tro-17800291;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ocotea rubra;Ocotea;;rubra;NA;NA;;;kew-2386854;TRUE;1.1;Synonym;Lauraceae;Sextonia;;rubra;;;(Mez) van der Werff;kew-2591960;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ocotea schomburgkiana;Ocotea;;schomburgkiana;NA;NA;;;kew-2387010;TRUE;1.1;Accepted;Lauraceae;Ocotea;;schomburgkiana;;;(Nees) Mez;kew-2387010;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ocotea sp;Ocotea;;sp;NA;NA;;;;FALSE;1.1;;;Ocotea;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Ocotea splendens;Ocotea;;splendens;NA;NA;;;kew-2387041;TRUE;1.1;Accepted;Lauraceae;Ocotea;;splendens;;;(Meisn.) Baill.;kew-2387041;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ormosia flava;Ormosia;;flava;NA;NA;;;ild-14588;TRUE;1.1;Accepted;Leguminosae;Ormosia;;flava;;;(Ducke) Rudd;ild-14588;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ormosia sp;Ormosia;;sp;NA;NA;;;;FALSE;1.1;;;Ormosia;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Parahancornia fasciculata;Parahancornia;;fasciculata;NA;NA;;;kew-147481;TRUE;1.1;Accepted;Apocynaceae;Parahancornia;;fasciculata;;;(Poir.) Benoist;kew-147481;Accepted;FALSE;FALSE;FALSE;09/12/2021
Parinari campestris;Parinari;;campestris;NA;NA;;;kew-355480;TRUE;1.1;Accepted;Chrysobalanaceae;Parinari;;campestris;;;Aubl.;kew-355480;Accepted;FALSE;FALSE;FALSE;09/12/2021
Parkia nitida;Parkia;;nitida;NA;NA;;;ild-20275;TRUE;1.1;Accepted;Leguminosae;Parkia;;nitida;;;Miq.;ild-20275;Accepted;FALSE;FALSE;FALSE;09/12/2021
Parkia pendula;Parkia;;pendula;NA;NA;;;ild-20276;TRUE;1.1;Accepted;Leguminosae;Parkia;;pendula;;;(Willd.) Walp.;ild-20276;Accepted;FALSE;FALSE;FALSE;09/12/2021
Parkia sp;Parkia;;sp;NA;NA;;;;FALSE;1.1;;;Parkia;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Parkia ulei;Parkia;;ulei;NA;NA;;;ild-14669;TRUE;1.1;Accepted;Leguminosae;Parkia;;ulei;;;(Harms) Kuhlm.;ild-14669;Accepted;FALSE;FALSE;FALSE;09/12/2021
Peltogyne sp;Peltogyne;;sp;NA;NA;;;;FALSE;1.1;;;Peltogyne;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Peltogyne venosa;Peltogyne;;venosa;NA;NA;;;ild-33225;TRUE;1.1;Accepted;Leguminosae;Peltogyne;;venosa;;;(M.Vahl) Benth.;ild-33225;Accepted;FALSE;FALSE;FALSE;09/12/2021
Pinus caribaea;Pinus;;caribaea;NA;NA;;;kew-2563099;TRUE;1.1;Accepted;Pinaceae;Pinus;;caribaea;;;Morelet;kew-2563099;Accepted;FALSE;FALSE;FALSE;09/12/2021
Platonia insignis;Platonia;;insignis;NA;NA;;;kew-2408897;TRUE;1.1;Accepted;Clusiaceae;Platonia;;insignis;;;Mart.;kew-2408897;Accepted;FALSE;FALSE;FALSE;09/12/2021
Platymiscium sp;Platymiscium;;sp;NA;NA;;;;FALSE;1.1;;;Platymiscium;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Pourouma sp;Pourouma;;sp;NA;NA;;;;FALSE;1.1;;;Pourouma;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Pourouma villosa;Pourouma;;villosa;NA;NA;;;tro-50086641;TRUE;1.1;Accepted;Urticaceae;Pourouma;;villosa;;;Trécul;tro-50086641;Accepted;FALSE;FALSE;FALSE;09/12/2021
Pouteria sp;Pouteria;;sp;NA;NA;;;;FALSE;1.1;;;Pouteria;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Pradosia cochlearia;Pradosia;;cochlearia;NA;NA;;;kew-164549;TRUE;1.1;Accepted;Sapotaceae;Pradosia;;cochlearia;;;(Lecomte) T.D.Penn.;kew-164549;Accepted;FALSE;FALSE;FALSE;09/12/2021
Pradosia sp;Pradosia;;sp;NA;NA;;;;FALSE;1.1;;;Pradosia;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Protium sagotianum;Protium;;sagotianum;NA;NA;;;kew-2414348;TRUE;1.1;Accepted;Burseraceae;Protium;;sagotianum;;;Marchand;kew-2414348;Accepted;FALSE;FALSE;FALSE;09/12/2021
Protium sp;Protium;;sp;NA;NA;;;;FALSE;1.1;;;Protium;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Pseudopiptadenia psilostachya;Pseudopiptadenia;;psilostachya;NA;NA;;;ild-33928;TRUE;1.1;Accepted;Leguminosae;Pseudopiptadenia;;psilostachya;;;(DC.) G.P.Lewis & M.P.Lima;ild-33928;Accepted;FALSE;FALSE;FALSE;09/12/2021
Pseudopiptadenia suaveolens;Pseudopiptadenia;;suaveolens;NA;NA;;;tro-13076047;TRUE;1.1;Accepted;Leguminosae;Pseudopiptadenia;;suaveolens;;;(Miq.) J.W. Grimes;tro-13076047;Accepted;FALSE;FALSE;FALSE;09/12/2021
Pterocarpus officinalis;Pterocarpus;;officinalis;NA;NA;;;ild-41502;TRUE;1.1;Accepted;Leguminosae;Pterocarpus;;officinalis;;;Jacq.;ild-41502;Accepted;FALSE;FALSE;FALSE;09/12/2021
Qualea coerulea;Qualea;;coerulea;NA;NA;;;kew-2868153;TRUE;1.1;Accepted;Vochysiaceae;Qualea;;coerulea;;;Aubl.;kew-2868153;Accepted;FALSE;FALSE;FALSE;09/12/2021
Qualea rosea;Qualea;;rosea;NA;NA;;;kew-2868228;TRUE;1.1;Accepted;Vochysiaceae;Qualea;;rosea;;;Aubl.;kew-2868228;Accepted;FALSE;FALSE;FALSE;09/12/2021
Qualea sp;Qualea;;sp;NA;NA;;;;FALSE;1.1;;;Qualea;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Recordoxylon speciosum;Recordoxylon;;speciosum;NA;NA;;;tro-50072123;TRUE;1.1;Accepted;Leguminosae;Recordoxylon;;speciosum;;;(Benoist) Gazel ex Barneby;tro-50072123;Accepted;FALSE;FALSE;FALSE;09/12/2021
Rhabdodendron amazonicum;Rhabdodendron;;amazonicum;NA;NA;;;tro-28100252;TRUE;1.1;Accepted;Rhabdodendraceae;Rhabdodendron;;amazonicum;;;(Spruce ex Benth.) Huber;tro-28100252;Accepted;FALSE;FALSE;FALSE;09/12/2021
Rhodostemonodaphne grandis;Rhodostemonodaphne;;grandis;NA;NA;;;tro-17804393;TRUE;1.1;Accepted;Lauraceae;Rhodostemonodaphne;;grandis;;;(Mez) Rohwer;tro-17804393;Accepted;FALSE;FALSE;FALSE;09/12/2021
Rhodostemonodaphne kunthiana;Rhodostemonodaphne;;kunthiana;NA;NA;;;kew-2428841;TRUE;1.1;Accepted;Lauraceae;Rhodostemonodaphne;;kunthiana;;;(Nees) Rohwer;kew-2428841;Accepted;FALSE;FALSE;FALSE;09/12/2021
Richeria sp;Richeria;;sp;NA;NA;;;;FALSE;1.1;;;Richeria;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Ruizterania albiflora;Ruizterania;;albiflora;NA;NA;;;tro-34100257;TRUE;1.1;Synonym;Vochysiaceae;Qualea;;albiflora;;;Warm.;kew-2868139;Accepted;FALSE;FALSE;FALSE;09/12/2021
